
(5,1,98,8.8),
(10,2,98,7.7),
(15,3,98,7.5),
(20,4,98,7.9),
(25,5,97,6),
(30,6,97,9.3),
(35,7,97,8.5),
(40,8,97,7.5),
(45,9,97,8.2),
(50,10,97,8.3),
(55,11,97,8.9),
(60,12,97,9.1),
(65,13,97,8.6),
(70,14,97,8.1),
(75,15,97,7.9),
(80,16,96,8.9),
(85,17,96,9.4),
(90,18,96,9.2),
(95,19,96,9.1),
(100,20,96,9.1),
(105,21,96,8.5),
(110,22,96,9.3),
(115,23,96,7.9),
(120,24,96,8.7),
(125,25,96,9.1),
(130,26,96,8.7),
(135,27,96,8.9),
(140,28,96,8.8),
(145,29,96,8.6),
(150,30,96,8.9),
(155,31,96,8.9),
(160,32,96,8.9),
(165,33,96,8.4),
(170,34,95,7.5),
(175,35,95,9.1),
(180,36,95,8.8),
(185,37,95,8.4),
(190,38,95,8.7),
(195,39,95,7.7),
(200,40,95,9),
(205,41,95,6.8),
(210,42,95,8.8),
(215,43,95,8.4),
(220,44,95,9.1),
(225,45,95,9),
(230,46,95,8.2),
(235,47,95,9),
(240,48,95,8.5),
(245,49,95,7.3),
(250,50,94,7.7),
(255,51,94,8.7),
(260,52,94,8.8),
(265,53,94,8.3),
(270,54,94,8.1),
(275,55,94,8.8),
(280,56,94,8.1),
(285,57,94,8.5),
(290,58,94,9.4),
(295,59,94,8.7),
(300,60,94,8.1),
(305,61,94,8.9),
(310,62,94,7.9),
(315,63,94,8.5),
(320,64,94,8.5),
(325,65,94,8),
(330,66,94,8.8),
(335,67,94,8.9),
(340,68,94,9.3),
(345,69,94,8.5),
(350,70,94,8.4),
(355,71,94,8.7),
(360,72,94,8.7),
(365,73,94,6.3),
(370,74,94,7.3),
(375,75,94,8.5),
(380,76,94,8.5),
(385,77,94,9.2),
(390,78,94,7.2),
(395,79,94,9),
(400,80,94,8.7),
(405,81,94,8.3),
(410,82,94,8.7),
(415,83,94,7.8),
(420,84,94,8.4),
(425,85,94,6.3),
(430,86,94,8.7),
(435,87,93,9.4),
(440,88,93,8.3),
(445,89,93,8.3),
(450,90,93,9.1),
(455,91,93,8.3),
(460,92,93,9),
(465,93,93,8.4),
(470,94,93,9),
(475,95,93,7.3),
(480,96,93,8.9),
(485,97,93,8.9),
(490,98,93,8.8),
(495,99,93,8.2),
(500,100,93,9.3),
(505,101,93,8.7),
(510,102,93,9.4),
(515,103,93,8.5),
(520,104,93,9),
(525,105,93,8.3),
(530,106,93,9.1),
(535,107,93,7.4),
(540,108,93,9),
(545,109,93,9.1),
(550,110,93,9),
(555,111,93,9.1),
(560,112,93,9.3),
(565,113,93,8.9),
(570,114,93,8),
(575,115,93,5.5),
(580,116,93,9),
(585,117,93,8.2),
(590,118,93,7.9),
(595,119,93,8.9),
(600,120,93,8),
(605,121,93,9),
(610,122,93,8.5),
(615,123,93,8.4),
(620,124,93,8.6),
(625,125,93,8.6),
(630,126,93,7.7),
(635,127,93,8.5),
(640,128,93,7.3),
(645,129,93,8.2),
(650,130,93,5.8),
(655,131,93,8.5),
(660,132,92,9.1),
(665,133,92,8.9),
(670,134,92,9),
(675,135,92,9.1),
(680,136,92,8.4),
(685,137,92,9.1),
(690,138,92,8.6),
(695,139,92,8.7),
(700,140,92,8.5),
(705,141,92,8.3),
(710,142,92,8.7),
(715,143,92,8.4),
(720,144,92,8.8),
(725,145,92,9),
(730,146,92,7.9),
(735,147,92,9.1),
(740,148,92,8.2),
(745,149,92,9.1),
(750,150,92,8.5),
(755,151,92,7.4),
(760,152,92,9.2),
(765,153,92,8.6),
(770,154,92,9.2),
(775,155,92,8.3),
(780,156,92,8.7),
(785,157,92,8.9),
(790,158,92,8.5),
(795,159,92,8.8),
